# path_seg_number, u, x (m), y (m), heading (deg), radius of curvature (m), flag_to_identify_given_pose
5 ,  0.15000000000000002 ,  368950.4557843316 ,  3280374.9987783073 ,  149.38397059586683 ,  -17.818704486035426 ,  0
5 ,  0.2 ,  368950.0139016324 ,  3280375.268440901 ,  147.87681560677845 ,  -21.634766054178975 ,  0
5 ,  0.25 ,  368949.5577410219 ,  3280375.562449454 ,  146.55237911931172 ,  -25.359966198835846 ,  0
5 ,  0.30000000000000004 ,  368949.09077899664 ,  3280375.8780905954 ,  145.35955301069495 ,  -28.7688476752003 ,  0
5 ,  0.35000000000000003 ,  368948.61649205285 ,  3280376.2126509515 ,  144.25986247004664 ,  -31.639325511738274 ,  0
5 ,  0.4 ,  368948.1383566868 ,  3280376.5634171525 ,  143.2229327662654 ,  -33.774650709291286 ,  0
5 ,  0.45 ,  368947.6598493947 ,  3280376.9276758246 ,  142.22347069258825 ,  -35.024458693281105 ,  0
5 ,  0.5 ,  368947.18444667273 ,  3280377.302713596 ,  141.23910952221874 ,  -35.301558467397115 ,  0
5 ,  0.55 ,  368946.7156250175 ,  3280377.685817096 ,  140.24872002721622 ,  -34.59155555770964 ,  0
5 ,  0.6000000000000001 ,  368946.256860925 ,  3280378.0742729525 ,  139.2309163346319 ,  -32.95362770313084 ,  0
5 ,  0.65 ,  368945.8116308916 ,  3280378.465367793 ,  138.16253655227902 ,  -30.51247004167606 ,  0
5 ,  0.7000000000000001 ,  368945.38341141364 ,  3280378.856388246 ,  137.01687383182664 ,  -27.443089326307803 ,  0
5 ,  0.75 ,  368944.9756789872 ,  3280379.2446209397 ,  135.7613734344613 ,  -23.951270311168926 ,  0
5 ,  0.8 ,  368944.59191010887 ,  3280379.627352502 ,  134.3543731489962 ,  -20.252899844235163 ,  0
5 ,  0.8500000000000001 ,  368944.2355812746 ,  3280380.001869561 ,  132.74019459493073 ,  -16.554948895282582 ,  0
5 ,  0.9 ,  368943.9101689809 ,  3280380.3654587455 ,  130.84137845273895 ,  -13.040041014079701 ,  0
5 ,  0.9500000000000001 ,  368943.61914972385 ,  3280380.715406682 ,  128.54586402940544 ,  -9.855517678118527 ,  0
6 ,  0.0 ,  368943.366 ,  3280381.049 ,  125.6849673999433 ,  -17.33302292380053 ,  1
6 ,  0.05 ,  368943.2446042389 ,  3280381.2196543543 ,  125.24025212125949 ,  -47.80547900220815 ,  0
6 ,  0.1 ,  368943.11046343646 ,  3280381.410131068 ,  125.11559108427723 ,  100.0 ,  0
6 ,  0.15000000000000002 ,  368942.96453853365 ,  3280381.61734388 ,  125.22616388245315 ,  71.26888295357598 ,  0
6 ,  0.2 ,  368942.807790472 ,  3280381.8382065315 ,  125.52766209932847 ,  41.08891622514031 ,  0
6 ,  0.25 ,  368942.64118019264 ,  3280382.069632765 ,  125.99841850768175 ,  30.237059774304118 ,  0
6 ,  0.30000000000000004 ,  368942.46566863713 ,  3280382.3085363205 ,  126.63114918582389 ,  24.15942397903714 ,  0
6 ,  0.35000000000000003 ,  368942.28221674665 ,  3280382.5518309395 ,  127.42911163919311 ,  19.9540046816456 ,  0
6 ,  0.4 ,  368942.09178546275 ,  3280382.796430364 ,  128.40458809130175 ,  16.67979665807743 ,  0
6 ,  0.45 ,  368941.89533572656 ,  3280383.0392483342 ,  129.57882500188927 ,  13.956503976157265 ,  0
6 ,  0.5 ,  368941.69382847927 ,  3280383.2771985903 ,  130.98311184294798 ,  11.612027024825512 ,  0
6 ,  0.55 ,  368941.4882246625 ,  3280383.5071948753 ,  132.66098086272424 ,  9.564074361562897 ,  0
6 ,  0.6000000000000001 ,  368941.2794852176 ,  3280383.7261509295 ,  134.67170928548435 ,  7.772335114523997 ,  0
6 ,  0.65 ,  368941.0685710856 ,  3280383.9309804947 ,  137.09545510003775 ,  6.216454658713744 ,  0
6 ,  0.7000000000000001 ,  368940.85644320806 ,  3280384.1185973114 ,  140.04041662761225 ,  4.8848616055434535 ,  0
6 ,  0.75 ,  368940.64406252623 ,  3280384.2859151205 ,  143.65217073048325 ,  3.768699192980985 ,  0
6 ,  0.8 ,  368940.4323899816 ,  3280384.429847664 ,  148.12420328490666 ,  2.8584301818751077 ,  0
6 ,  0.8500000000000001 ,  368940.22238651523 ,  3280384.5473086825 ,  153.70505166515804 ,  2.1420530458047526 ,  0
6 ,  0.9 ,  368940.0150130686 ,  3280384.635211917 ,  160.68831092965272 ,  1.604537369768152 ,  0
6 ,  0.9500000000000001 ,  368939.8112305831 ,  3280384.690471109 ,  169.35402240945766 ,  1.228512728622237 ,  0
7 ,  0.0 ,  368939.612 ,  3280384.71 ,  179.8149765965673 ,  3.2073378302204523 ,  1
7 ,  0.05 ,  368939.38756441616 ,  3280384.703762798 ,  -176.8253540141717 ,  4.537461541975141 ,  0
7 ,  0.1 ,  368939.1415218047 ,  3280384.6840244764 ,  -174.12802642862016 ,  6.014500240582712 ,  0
7 ,  0.15000000000000002 ,  368938.8767888731 ,  3280384.6513051726 ,  -171.8655196938533 ,  7.533057379727453 ,  0
7 ,  0.2 ,  368938.5962823295 ,  3280384.606125023 ,  -169.89233068903934 ,  8.97315487682904 ,  0
7 ,  0.25 ,  368938.3029188816 ,  3280384.549004167 ,  -168.10979454291612 ,  10.216597748245235 ,  0
7 ,  0.30000000000000004 ,  368937.99961523747 ,  3280384.48046274 ,  -166.44681405801424 ,  11.163268661605464 ,  0
7 ,  0.35000000000000003 ,  368937.6892881046 ,  3280384.4010208817 ,  -164.84866523508623 ,  11.74400767548297 ,  0
7 ,  0.4 ,  368937.37485419126 ,  3280384.311198729 ,  -163.27003944353942 ,  11.927641671546814 ,  0
7 ,  0.45 ,  368937.05923020514 ,  3280384.211516419 ,  -161.6703349851009 ,  11.721383539949949 ,  0
7 ,  0.5 ,  368936.7453328538 ,  3280384.102494089 ,  -160.01009229631026 ,  11.16552383249952 ,  0
7 ,  0.55 ,  368936.43607884564 ,  3280383.9846518775 ,  -158.24788852192 ,  10.324458532097449 ,  0
7 ,  0.6000000000000001 ,  368936.1343848883 ,  3280383.8585099224 ,  -156.337194372595 ,  9.276383793139264 ,  0
7 ,  0.65 ,  368935.8431676894 ,  3280383.72458836 ,  -154.222749137081 ,  8.103589475470493 ,  0
7 ,  0.7000000000000001 ,  368935.56534395716 ,  3280383.583407329 ,  -151.83597606040564 ,  6.884550705777883 ,  0
7 ,  0.75 ,  368935.3038303992 ,  3280383.4354869667 ,  -149.08886872599584 ,  5.688285450490475 ,  0
7 ,  0.8 ,  368935.06154372345 ,  3280383.2813474108 ,  -145.86569456950681 ,  4.57091141389663 ,  0
7 ,  0.8500000000000001 ,  368934.84140063776 ,  3280383.1215087976 ,  -142.0119763965673 ,  3.5740490245568615 ,  0
7 ,  0.9 ,  368934.6463178501 ,  3280382.9564912673 ,  -137.32113308279418 ,  2.724642230812924 ,  0
7 ,  0.9500000000000001 ,  368934.4792120682 ,  3280382.7868149546 ,  -131.5225573545365 ,  2.0358435955109604 ,  0
8 ,  0.0 ,  368934.343 ,  3280382.613 ,  -124.28467110016172 ,  -13.21032246287403 ,  1
8 ,  0.05 ,  368934.122591717 ,  3280382.2978814426 ,  -125.53265676300745 ,  -24.082475263505454 ,  0
8 ,  0.1 ,  368933.8730655088 ,  3280381.9537472134 ,  -126.277416042931 ,  -46.42664662812849 ,  0
8 ,  0.15000000000000002 ,  368933.5991113502 ,  3280381.5834967424 ,  -126.66296879016386 ,  -100.0 ,  0
8 ,  0.2 ,  368933.30541921634 ,  3280381.190029456 ,  -126.77139703987679 ,  100.0 ,  0
8 ,  0.25 ,  368932.996679082 ,  3280380.776244784 ,  -126.64977101989659 ,  100.0 ,  0
8 ,  0.30000000000000004 ,  368932.67758092226 ,  3280380.3450421556 ,  -126.32344318161448 ,  73.59201579264987 ,  0
8 ,  0.35000000000000003 ,  368932.35281471204 ,  3280379.899320999 ,  -125.80284928277972 ,  51.73584517635451 ,  0
8 ,  0.4 ,  368932.02707042644 ,  3280379.4419807433 ,  -125.08689650277994 ,  39.63227356573288 ,  0
8 ,  0.45 ,  368931.70503804035 ,  3280378.9759208173 ,  -124.16433440089735 ,  31.495809644192413 ,  0
8 ,  0.5 ,  368931.39140752854 ,  3280378.504040648 ,  -123.01373113214834 ,  25.40218635849431 ,  0
8 ,  0.55 ,  368931.0908688663 ,  3280378.0292396666 ,  -121.60227646022145 ,  20.547524178536577 ,  0
8 ,  0.6000000000000001 ,  368930.8081120285 ,  3280377.554417302 ,  -119.88338976441189 ,  16.548351721009517 ,  0
8 ,  0.65 ,  368930.54782698996 ,  3280377.082472981 ,  -117.79294111160114 ,  13.204747778697811 ,  0
8 ,  0.7000000000000001 ,  368930.3147037258 ,  3280376.616306133 ,  -115.24378797599117 ,  10.404302750679458 ,  0
8 ,  0.75 ,  368930.1134322109 ,  3280376.1588161876 ,  -112.1183825384602 ,  8.077874003327251 ,  0
8 ,  0.8 ,  368929.94870242034 ,  3280375.712902574 ,  -108.25972998931996 ,  6.177237901205244 ,  0
8 ,  0.8500000000000001 ,  368929.825204329 ,  3280375.2814647183 ,  -103.46281617432045 ,  4.663152335229576 ,  0
8 ,  0.9 ,  368929.74762791186 ,  3280374.8674020525 ,  -97.47365706691245 ,  3.499050905994087 ,  0
8 ,  0.9500000000000001 ,  368929.72066314385 ,  3280374.473614003 ,  -90.0143160558815 ,  2.648432064351396 ,  0
9 ,  0.0 ,  368929.749 ,  3280374.103 ,  -80.86895699005444 ,  2.1921684135082398 ,  1
9 ,  0.05 ,  368929.8012684509 ,  3280373.858643898 ,  -75.27442459846533 ,  2.995000673025801 ,  0
9 ,  0.1 ,  368929.8803228721 ,  3280373.601040342 ,  -70.82289623880109 ,  4.0191082131565885 ,  0
9 ,  0.15000000000000002 ,  368929.98387843586 ,  3280373.3319964707 ,  -67.23595970250888 ,  5.274967349845272 ,  0
9 ,  0.2 ,  368930.1096503148 ,  3280373.053319422 ,  -64.30459489692988 ,  6.765574281911198 ,  0
9 ,  0.25 ,  368930.2553536814 ,  3280372.7668163367 ,  -61.87517869406335 ,  8.485833794262618 ,  0
9 ,  0.30000000000000004 ,  368930.4187037081 ,  3280372.4742943523 ,  -59.83499369472827 ,  10.422139902028364 ,  0
9 ,  0.35000000000000003 ,  368930.5974155675 ,  3280372.1775606084 ,  -58.10071570083625 ,  12.552034132764039 ,  0
9 ,  0.4 ,  368930.7892044321 ,  3280371.8784222426 ,  -56.610024282337285 ,  14.843874883488674 ,  0
9 ,  0.45 ,  368930.99178547435 ,  3280371.5786863966 ,  -55.31567449888165 ,  17.256472468466455 ,  0
9 ,  0.5 ,  368931.2028738668 ,  3280371.2801602054 ,  -54.181338337289404 ,  19.738651454864517 ,  0
9 ,  0.55 ,  368931.42018478183 ,  3280370.9846508116 ,  -53.17867529616737 ,  22.228700963077188 ,  0
9 ,  0.6000000000000001 ,  368931.64143339207 ,  3280370.693965352 ,  -52.285246535079246 ,  24.65366825480287 ,  0
9 ,  0.65 ,  368931.86433486996 ,  3280370.4099109666 ,  -51.483005908939354 ,  26.928443952388914 ,  0
9 ,  0.7000000000000001 ,  368932.086604388 ,  3280370.1342947935 ,  -50.757183674399975 ,  28.954584505208057 ,  0
9 ,  0.75 ,  368932.30595711875 ,  3280369.868923972 ,  -50.09543267696823 ,  30.618834208587046 ,  0
9 ,  0.8 ,  368932.5201082347 ,  3280369.615605641 ,  -49.487138811001465 ,  31.791382838271364 ,  0
9 ,  0.8500000000000001 ,  368932.72677290824 ,  3280369.376146939 ,  -48.92281050162808 ,  32.32412195931166 ,  0
9 ,  0.9 ,  368932.92366631195 ,  3280369.1523550064 ,  -48.39345374718388 ,  32.04978488256094 ,  0
9 ,  0.9500000000000001 ,  368933.10850361834 ,  3280368.94603698 ,  -47.88979448040197 ,  30.78445693340225 ,  0
10 ,  0.0 ,  368933.279 ,  3280368.759 ,  -47.401084825190296 ,  2.518519418098215 ,  1
10 ,  0.05 ,  368933.46483378176 ,  3280368.574346655 ,  -42.577450783644814 ,  3.8643802158801934 ,  0
10 ,  0.1 ,  368933.68254756863 ,  3280368.386965008 ,  -39.09457266161179 ,  5.810299824177898 ,  0
10 ,  0.15000000000000002 ,  368933.9280704161 ,  3280368.1968545713 ,  -36.57351925842312 ,  8.639388311401342 ,  0
10 ,  0.2 ,  368934.19733138004 ,  3280368.004014857 ,  -34.76645639471186 ,  12.927224326218028 ,  0
10 ,  0.25 ,  368934.4862595156 ,  3280367.808445378 ,  -33.51160246468715 ,  20.08614734076061 ,  0
10 ,  0.30000000000000004 ,  368934.79078387877 ,  3280367.6101456475 ,  -32.70374704843132 ,  34.75654794192789 ,  0
10 ,  0.35000000000000003 ,  368935.106833525 ,  3280367.4091151766 ,  -32.27605045841868 ,  85.94947389362652 ,  0
10 ,  0.4 ,  368935.43033751013 ,  3280367.2053534794 ,  -32.189115556585286 ,  -100.0 ,  0
10 ,  0.45 ,  368935.7572248896 ,  3280366.998860068 ,  -32.42470553442679 ,  -56.18146524562183 ,  0
10 ,  0.5 ,  368936.0834247189 ,  3280366.789634454 ,  -32.98257432649916 ,  -30.648570945313224 ,  0
10 ,  0.55 ,  368936.40486605396 ,  3280366.577676152 ,  -33.87959933662073 ,  -20.364677197999765 ,  0
10 ,  0.6000000000000001 ,  368936.7174779503 ,  3280366.362984673 ,  -35.1508802784336 ,  -14.575407121671121 ,  0
